layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical
35,0.8571,a,random,seta,0.0125,1,80,false
36,0.881,a,random,seta,0.0125,1,80,false
37,0.9048,a,random,seta,0.025,2,80,false
38,0.9286,a,random,seta,0.0375,3,80,false
39,0.9524,a,random,seta,0.05,4,80,false
40,0.9762,a,random,seta,0.0,0,80,false
41,1.0,a,random,seta,0.025,2,80,false
0,0.0238,a,random,setb,0.0625,6,96,false
1,0.0476,a,random,setb,0.020833333333333332,2,96,false
2,0.0714,a,random,setb,0.010416666666666666,1,96,false
3,0.0952,a,random,setb,0.020833333333333332,2,96,false
4,0.119,a,random,setb,0.010416666666666666,1,96,false
5,0.1429,a,random,setb,0.041666666666666664,4,96,false
6,0.1667,a,random,setb,0.03125,3,96,false
7,0.1905,a,random,setb,0.041666666666666664,4,96,false
8,0.2143,a,random,setb,0.020833333333333332,2,96,false
9,0.2381,a,random,setb,0.010416666666666666,1,96,false
10,0.2619,a,random,setb,0.03125,3,96,false
11,0.2857,a,random,setb,0.03125,3,96,false
12,0.3095,a,random,setb,0.020833333333333332,2,96,false
13,0.3333,a,random,setb,0.08333333333333333,8,96,false
14,0.3571,a,random,setb,0.041666666666666664,4,96,false
15,0.381,a,random,setb,0.08333333333333333,8,96,false
16,0.4048,a,random,setb,0.052083333333333336,5,96,false
17,0.4286,a,random,setb,0.0625,6,96,false
18,0.4524,a,random,setb,0.11458333333333333,11,96,false
19,0.4762,a,random,setb,0.07291666666666667,7,96,false
20,0.5,a,random,setb,0.09375,9,96,false
21,0.5238,a,random,setb,0.11458333333333333,11,96,false
22,0.5476,a,random,setb,0.11458333333333333,11,96,false
23,0.5714,a,random,setb,0.09375,9,96,false
24,0.5952,a,random,setb,0.11458333333333333,11,96,false
25,0.619,a,random,setb,0.125,12,96,false
26,0.6429,a,random,setb,0.13541666666666666,13,96,false
27,0.6667,a,random,setb,0.14583333333333334,14,96,false
28,0.6905,a,random,setb,0.07291666666666667,7,96,false
29,0.7143,a,random,setb,0.11458333333333333,11,96,false
30,0.7381,a,random,setb,0.10416666666666667,10,96,false
31,0.7619,a,random,setb,0.10416666666666667,10,96,false
32,0.7857,a,random,setb,0.125,12,96,false
33,0.8095,a,random,setb,0.07291666666666667,7,96,false
34,0.8333,a,random,setb,0.07291666666666667,7,96,false
35,0.8571,a,random,setb,0.07291666666666667,7,96,false
36,0.881,a,random,setb,0.08333333333333333,8,96,false
37,0.9048,a,random,setb,0.125,12,96,false
38,0.9286,a,random,setb,0.09375,9,96,false
39,0.9524,a,random,setb,0.09375,9,96,false
40,0.9762,a,random,setb,0.07291666666666667,7,96,false
41,1.0,a,random,setb,0.10416666666666667,10,96,false
0,0.0238,m,zero,seta,0.0125,1,80,false
1,0.0476,m,zero,seta,0.0,0,80,false
2,0.0714,m,zero,seta,0.0,0,80,false
3,0.0952,m,zero,seta,0.0,0,80,false
4,0.119,m,zero,seta,0.0,0,80,false
5,0.1429,m,zero,seta,0.0,0,80,false
6,0.1667,m,zero,seta,0.0,0,80,false
7,0.1905,m,zero,seta,0.0,0,80,false
8,0.2143,m,zero,seta,0.0,0,80,false
9,0.2381,m,zero,seta,0.0125,1,80,false
10,0.2619,m,zero,seta,0.0125,1,80,false
11,0.2857,m,zero,seta,0.0125,1,80,false
12,0.3095,m,zero,seta,0.0125,1,80,false
13,0.3333,m,zero,seta,0.0125,1,80,false
14,0.3571,m,zero,seta,0.0125,1,80,false
15,0.381,m,zero,seta,0.0125,1,80,false
16,0.4048,m,zero,seta,0.025,2,80,false
17,0.4286,m,zero,seta,0.025,2,80,false
18,0.4524,m,zero,seta,0.0125,1,80,false
19,0.4762,m,zero,seta,0.0125,1,80,false
20,0.5,m,zero,seta,0.025,2,80,false
21,0.5238,m,zero,seta,0.0125,1,80,false
22,0.5476,m,zero,seta,0.05,4,80,false
23,0.5714,m,zero,seta,0.0625,5,80,false
24,0.5952,m,zero,seta,0.0375,3,80,false
25,0.619,m,zero,seta,0.0375,3,80,false
26,0.6429,m,zero,seta,0.05,4,80,false
27,0.6667,m,zero,seta,0.0125,1,80,false
28,0.6905,m,zero,seta,0.0875,7,80,false
29,0.7143,m,zero,seta,0.075,6,80,false
30,0.7381,m,zero,seta,0.0875,7,80,false
31,0.7619,m,zero,seta,0.0875,7,80,false
32,0.7857,m,zero,seta,0.1,8,80,false
33,0.8095,m,zero,seta,0.075,6,80,false
34,0.8333,m,zero,seta,0.025,2,80,false
35,0.8571,m,zero,seta,0.05,4,80,false
36,0.881,m,zero,seta,0.0625,5,80,false
37,0.9048,m,zero,seta,0.05,4,80,false
38,0.9286,m,zero,seta,0.1375,11,80,false
39,0.9524,m,zero,seta,0.175,14,80,false
40,0.9762,m,zero,seta,0.1375,11,80,false
41,1.0,m,zero,seta,0.0375,3,80,false
0,0.0238,m,zero,setb,0.010416666666666666,1,96,false
1,0.0476,m,zero,setb,0.010416666666666666,1,96,false
2,0.0714,m,zero,setb,0.010416666666666666,1,96,false
3,0.0952,m,zero,setb,0.020833333333333332,2,96,false
4,0.119,m,zero,setb,0.020833333333333332,2,96,false
5,0.1429,m,zero,setb,0.010416666666666666,1,96,false
6,0.1667,m,zero,setb,0.020833333333333332,2,96,false
7,0.1905,m,zero,setb,0.010416666666666666,1,96,false
8,0.2143,m,zero,setb,0.010416666666666666,1,96,false
9,0.2381,m,zero,setb,0.03125,3,96,false
10,0.2619,m,zero,setb,0.010416666666666666,1,96,false
11,0.2857,m,zero,setb,0.03125,3,96,false
12,0.3095,m,zero,setb,0.03125,3,96,false
13,0.3333,m,zero,setb,0.010416666666666666,1,96,false
14,0.3571,m,zero,setb,0.010416666666666666,1,96,false
15,0.381,m,zero,setb,0.0625,6,96,false
16,0.4048,m,zero,setb,0.0625,6,96,false
17,0.4286,m,zero,setb,0.0625,6,96,false
18,0.4524,m,zero,setb,0.08333333333333333,8,96,false
19,0.4762,m,zero,setb,0.10416666666666667,10,96,false
20,0.5,m,zero,setb,0.07291666666666667,7,96,false
21,0.5238,m,zero,setb,0.13541666666666666,13,96,false
22,0.5476,m,zero,setb,0.10416666666666667,10,96,false
23,0.5714,m,zero,setb,0.11458333333333333,11,96,false
24,0.5952,m,zero,setb,0.11458333333333333,11,96,false
25,0.619,m,zero,setb,0.10416666666666667,10,96,false
26,0.6429,m,zero,setb,0.13541666666666666,13,96,false
27,0.6667,m,zero,setb,0.125,12,96,false
28,0.6905,m,zero,setb,0.14583333333333334,14,96,false
29,0.7143,m,zero,setb,0.16666666666666666,16,96,false
30,0.7381,m,zero,setb,0.22916666666666666,22,96,true
31,0.7619,m,zero,setb,0.15625,15,96,false
32,0.7857,m,zero,setb,0.17708333333333334,17,96,false
33,0.8095,m,zero,setb,0.15625,15,96,false
34,0.8333,m,zero,setb,0.10416666666666667,10,96,false
35,0.8571,m,zero,setb,0.13541666666666666,13,96,false
36,0.881,m,zero,setb,0.21875,21,96,true
37,0.9048,m,zero,setb,0.09375,9,96,false
38,0.9286,m,zero,setb,0.13541666666666666,13,96,false
39,0.9524,m,zero,setb,0.1875,18,96,false
40,0.9762,m,zero,setb,0.17708333333333334,17,96,false
41,1.0,m,zero,setb,0.16666666666666666,16,96,false
0,0.0238,m,random,seta,0.0,0,80,false
1,0.0476,m,random,seta,0.0125,1,80,false
2,0.0714,m,random,seta,0.0,0,80,false
3,0.0952,m,random,seta,0.0125,1,80,false
4,0.119,m,random,seta,0.0125,1,80,false
5,0.1429,m,random,seta,0.0,0,80,false
6,0.1667,m,random,seta,0.0,0,80,false
7,0.1905,m,random,seta,0.0125,1,80,false
8,0.2143,m,random,seta,0.0,0,80,false
9,0.2381,m,random,seta,0.0125,1,80,false
10,0.2619,m,random,seta,0.025,2,80,false
11,0.2857,m,random,seta,0.025,2,80,false
12,0.3095,m,random,seta,0.025,2,80,false
13,0.3333,m,random,seta,0.0375,3,80,false
14,0.3571,m,random,seta,0.0125,1,80,false
15,0.381,m,random,seta,0.0125,1,80,false
16,0.4048,m,random,seta,0.0125,1,80,false
17,0.4286,m,random,seta,0.025,2,80,false
18,0.4524,m,random,seta,0.05,4,80,false
19,0.4762,m,random,seta,0.0125,1,80,false
20,0.5,m,random,seta,0.05,4,80,false
21,0.5238,m,random,seta,0.0375,3,80,false
22,0.5476,m,random,seta,0.0625,5,80,false
23,0.5714,m,random,seta,0.075,6,80,false
24,0.5952,m,random,seta,0.05,4,80,false
25,0.619,m,random,seta,0.0125,1,80,false
26,0.6429,m,random,seta,0.025,2,80,false
27,0.6667,m,random,seta,0.075,6,80,false
28,0.6905,m,random,seta,0.1125,9,80,false
29,0.7143,m,random,seta,0.0625,5,80,false
30,0.7381,m,random,seta,0.1,8,80,false
31,0.7619,m,random,seta,0.0875,7,80,false
32,0.7857,m,random,seta,0.125,10,80,false
33,0.8095,m,random,seta,0.1125,9,80,false
34,0.8333,m,random,seta,0.0875,7,80,false
35,0.8571,m,random,seta,0.0625,5,80,false
36,0.881,m,random,seta,0.0625,5,80,false
37,0.9048,m,random,seta,0.0625,5,80,false
38,0.9286,m,random,seta,0.1125,9,80,false
39,0.9524,m,random,seta,0.15,12,80,false
40,0.9762,m,random,seta,0.125,10,80,false
41,1.0,m,random,seta,0.05,4,80,false
0,0.0238,m,random,setb,0.010416666666666666,1,96,false
1,0.0476,m,random,setb,0.010416666666666666,1,96,false
2,0.0714,m,random,setb,0.03125,3,96,false
3,0.0952,m,random,setb,0.052083333333333336,5,96,false
4,0.119,m,random,setb,0.020833333333333332,2,96,false
5,0.1429,m,random,setb,0.03125,3,96,false
6,0.1667,m,random,setb,0.041666666666666664,4,96,false
7,0.1905,m,random,setb,0.052083333333333336,5,96,false
8,0.2143,m,random,setb,0.020833333333333332,2,96,false
9,0.2381,m,random,setb,0.03125,3,96,false
10,0.2619,m,random,setb,0.052083333333333336,5,96,false
11,0.2857,m,random,setb,0.020833333333333332,2,96,false
12,0.3095,m,random,setb,0.09375,9,96,false
13,0.3333,m,random,setb,0.020833333333333332,2,96,false
14,0.3571,m,random,setb,0.052083333333333336,5,96,false
15,0.381,m,random,setb,0.09375,9,96,false
16,0.4048,m,random,setb,0.09375,9,96,false
17,0.4286,m,random,setb,0.10416666666666667,10,96,false
18,0.4524,m,random,setb,0.10416666666666667,10,96,false
19,0.4762,m,random,setb,0.125,12,96,false
20,0.5,m,random,setb,0.09375,9,96,false
21,0.5238,m,random,setb,0.16666666666666666,16,96,false
22,0.5476,m,random,setb,0.14583333333333334,14,96,false
23,0.5714,m,random,setb,0.16666666666666666,16,96,false
