id,domain,condition,layer,norm_depth,p_emotional
setb_emo_093,B_clinical,B_emotional,13,0.875,0.999403
setb_emo_093,B_clinical,B_emotional,14,0.9375,0.999195
setb_emo_093,B_clinical,B_emotional,15,1.0,0.998935
setb_emo_094,B_clinical,B_emotional,0,0.0625,0.992987
setb_emo_094,B_clinical,B_emotional,1,0.125,0.9969
setb_emo_094,B_clinical,B_emotional,2,0.1875,0.997863
setb_emo_094,B_clinical,B_emotional,3,0.25,0.998443
setb_emo_094,B_clinical,B_emotional,4,0.3125,0.997662
setb_emo_094,B_clinical,B_emotional,5,0.375,0.995719
setb_emo_094,B_clinical,B_emotional,6,0.4375,0.99596
setb_emo_094,B_clinical,B_emotional,7,0.5,0.997398
setb_emo_094,B_clinical,B_emotional,8,0.5625,0.999363
setb_emo_094,B_clinical,B_emotional,9,0.625,0.99993
setb_emo_094,B_clinical,B_emotional,10,0.6875,0.999988
setb_emo_094,B_clinical,B_emotional,11,0.75,0.999959
setb_emo_094,B_clinical,B_emotional,12,0.8125,0.999942
setb_emo_094,B_clinical,B_emotional,13,0.875,0.999922
setb_emo_094,B_clinical,B_emotional,14,0.9375,0.999848
setb_emo_094,B_clinical,B_emotional,15,1.0,0.999604
setb_emo_095,B_clinical,B_emotional,0,0.0625,0.991206
setb_emo_095,B_clinical,B_emotional,1,0.125,0.998323
setb_emo_095,B_clinical,B_emotional,2,0.1875,0.999772
setb_emo_095,B_clinical,B_emotional,3,0.25,0.99955
setb_emo_095,B_clinical,B_emotional,4,0.3125,0.999599
setb_emo_095,B_clinical,B_emotional,5,0.375,0.998038
setb_emo_095,B_clinical,B_emotional,6,0.4375,0.998845
setb_emo_095,B_clinical,B_emotional,7,0.5,0.999727
setb_emo_095,B_clinical,B_emotional,8,0.5625,0.998366
setb_emo_095,B_clinical,B_emotional,9,0.625,0.999791
setb_emo_095,B_clinical,B_emotional,10,0.6875,0.999915
setb_emo_095,B_clinical,B_emotional,11,0.75,0.999969
setb_emo_095,B_clinical,B_emotional,12,0.8125,0.999969
setb_emo_095,B_clinical,B_emotional,13,0.875,0.999917
setb_emo_095,B_clinical,B_emotional,14,0.9375,0.999905
setb_emo_095,B_clinical,B_emotional,15,1.0,0.99989
setb_neu_000,neutral_control,B_neutral,0,0.0625,0.000039
setb_neu_000,neutral_control,B_neutral,1,0.125,0.000258
setb_neu_000,neutral_control,B_neutral,2,0.1875,0.000555
setb_neu_000,neutral_control,B_neutral,3,0.25,0.000617
setb_neu_000,neutral_control,B_neutral,4,0.3125,0.000647
setb_neu_000,neutral_control,B_neutral,5,0.375,0.000411
setb_neu_000,neutral_control,B_neutral,6,0.4375,0.000593
setb_neu_000,neutral_control,B_neutral,7,0.5,0.001132
setb_neu_000,neutral_control,B_neutral,8,0.5625,0.000448
setb_neu_000,neutral_control,B_neutral,9,0.625,0.000774
setb_neu_000,neutral_control,B_neutral,10,0.6875,0.001376
setb_neu_000,neutral_control,B_neutral,11,0.75,0.00069
setb_neu_000,neutral_control,B_neutral,12,0.8125,0.001561
setb_neu_000,neutral_control,B_neutral,13,0.875,0.002252
setb_neu_000,neutral_control,B_neutral,14,0.9375,0.002678
setb_neu_000,neutral_control,B_neutral,15,1.0,0.001687
setb_neu_001,neutral_control,B_neutral,0,0.0625,0.006376
setb_neu_001,neutral_control,B_neutral,1,0.125,0.008367
setb_neu_001,neutral_control,B_neutral,2,0.1875,0.005834
setb_neu_001,neutral_control,B_neutral,3,0.25,0.004057
setb_neu_001,neutral_control,B_neutral,4,0.3125,0.001454
setb_neu_001,neutral_control,B_neutral,5,0.375,0.001471
setb_neu_001,neutral_control,B_neutral,6,0.4375,0.00102
setb_neu_001,neutral_control,B_neutral,7,0.5,0.000267
setb_neu_001,neutral_control,B_neutral,8,0.5625,0.000235
setb_neu_001,neutral_control,B_neutral,9,0.625,0.000321
setb_neu_001,neutral_control,B_neutral,10,0.6875,0.000129
setb_neu_001,neutral_control,B_neutral,11,0.75,0.000196
setb_neu_001,neutral_control,B_neutral,12,0.8125,0.00022
setb_neu_001,neutral_control,B_neutral,13,0.875,0.000121
setb_neu_001,neutral_control,B_neutral,14,0.9375,0.000172
setb_neu_001,neutral_control,B_neutral,15,1.0,0.000221
setb_neu_002,neutral_control,B_neutral,0,0.0625,0.000016
setb_neu_002,neutral_control,B_neutral,1,0.125,0.000029
setb_neu_002,neutral_control,B_neutral,2,0.1875,0.00004
setb_neu_002,neutral_control,B_neutral,3,0.25,5e-6
setb_neu_002,neutral_control,B_neutral,4,0.3125,6e-6
setb_neu_002,neutral_control,B_neutral,5,0.375,7e-6
setb_neu_002,neutral_control,B_neutral,6,0.4375,4e-6
setb_neu_002,neutral_control,B_neutral,7,0.5,0.000014
setb_neu_002,neutral_control,B_neutral,8,0.5625,0.000205
setb_neu_002,neutral_control,B_neutral,9,0.625,0.000249
setb_neu_002,neutral_control,B_neutral,10,0.6875,0.000328
setb_neu_002,neutral_control,B_neutral,11,0.75,0.000512
setb_neu_002,neutral_control,B_neutral,12,0.8125,0.000662
setb_neu_002,neutral_control,B_neutral,13,0.875,0.00072
setb_neu_002,neutral_control,B_neutral,14,0.9375,0.000641
setb_neu_002,neutral_control,B_neutral,15,1.0,0.000317
setb_neu_003,neutral_control,B_neutral,0,0.0625,0.0
setb_neu_003,neutral_control,B_neutral,1,0.125,2e-6
setb_neu_003,neutral_control,B_neutral,2,0.1875,0.0
setb_neu_003,neutral_control,B_neutral,3,0.25,1e-6
setb_neu_003,neutral_control,B_neutral,4,0.3125,1e-6
setb_neu_003,neutral_control,B_neutral,5,0.375,0.000021
setb_neu_003,neutral_control,B_neutral,6,0.4375,0.000018
setb_neu_003,neutral_control,B_neutral,7,0.5,4e-6
setb_neu_003,neutral_control,B_neutral,8,0.5625,0.0
setb_neu_003,neutral_control,B_neutral,9,0.625,6e-6
setb_neu_003,neutral_control,B_neutral,10,0.6875,5e-6
setb_neu_003,neutral_control,B_neutral,11,0.75,0.000018
setb_neu_003,neutral_control,B_neutral,12,0.8125,0.00002
setb_neu_003,neutral_control,B_neutral,13,0.875,8e-6
setb_neu_003,neutral_control,B_neutral,14,0.9375,0.000014
setb_neu_003,neutral_control,B_neutral,15,1.0,8e-6
setb_neu_004,neutral_control,B_neutral,0,0.0625,0.000547
setb_neu_004,neutral_control,B_neutral,1,0.125,0.000433
setb_neu_004,neutral_control,B_neutral,2,0.1875,0.00021
setb_neu_004,neutral_control,B_neutral,3,0.25,0.00001
setb_neu_004,neutral_control,B_neutral,4,0.3125,5e-6
setb_neu_004,neutral_control,B_neutral,5,0.375,8e-6
setb_neu_004,neutral_control,B_neutral,6,0.4375,0.000011
setb_neu_004,neutral_control,B_neutral,7,0.5,7e-6
setb_neu_004,neutral_control,B_neutral,8,0.5625,0.0
setb_neu_004,neutral_control,B_neutral,9,0.625,5e-6
setb_neu_004,neutral_control,B_neutral,10,0.6875,5e-6
setb_neu_004,neutral_control,B_neutral,11,0.75,7e-6
setb_neu_004,neutral_control,B_neutral,12,0.8125,8e-6
setb_neu_004,neutral_control,B_neutral,13,0.875,7e-6
setb_neu_004,neutral_control,B_neutral,14,0.9375,5e-6
setb_neu_004,neutral_control,B_neutral,15,1.0,3e-6
setb_neu_005,neutral_control,B_neutral,0,0.0625,0.000034
setb_neu_005,neutral_control,B_neutral,1,0.125,0.000026
setb_neu_005,neutral_control,B_neutral,2,0.1875,0.000023
setb_neu_005,neutral_control,B_neutral,3,0.25,0.000207
setb_neu_005,neutral_control,B_neutral,4,0.3125,0.000126
setb_neu_005,neutral_control,B_neutral,5,0.375,0.000181
setb_neu_005,neutral_control,B_neutral,6,0.4375,0.000025
setb_neu_005,neutral_control,B_neutral,7,0.5,0.000032
setb_neu_005,neutral_control,B_neutral,8,0.5625,0.000024
setb_neu_005,neutral_control,B_neutral,9,0.625,0.000064
setb_neu_005,neutral_control,B_neutral,10,0.6875,0.000052
setb_neu_005,neutral_control,B_neutral,11,0.75,0.000179
setb_neu_005,neutral_control,B_neutral,12,0.8125,0.000117
setb_neu_005,neutral_control,B_neutral,13,0.875,0.000109
setb_neu_005,neutral_control,B_neutral,14,0.9375,0.000129
setb_neu_005,neutral_control,B_neutral,15,1.0,0.000046
setb_neu_006,neutral_control,B_neutral,0,0.0625,0.001568
setb_neu_006,neutral_control,B_neutral,1,0.125,0.000569
setb_neu_006,neutral_control,B_neutral,2,0.1875,0.00175
setb_neu_006,neutral_control,B_neutral,3,0.25,0.000425
setb_neu_006,neutral_control,B_neutral,4,0.3125,0.000393
setb_neu_006,neutral_control,B_neutral,5,0.375,0.000147
setb_neu_006,neutral_control,B_neutral,6,0.4375,0.000169
setb_neu_006,neutral_control,B_neutral,7,0.5,0.000031
setb_neu_006,neutral_control,B_neutral,8,0.5625,0.000048
setb_neu_006,neutral_control,B_neutral,9,0.625,0.000013
setb_neu_006,neutral_control,B_neutral,10,0.6875,5e-6
setb_neu_006,neutral_control,B_neutral,11,0.75,0.000022
setb_neu_006,neutral_control,B_neutral,12,0.8125,0.000026
setb_neu_006,neutral_control,B_neutral,13,0.875,0.000052
setb_neu_006,neutral_control,B_neutral,14,0.9375,0.00005
setb_neu_006,neutral_control,B_neutral,15,1.0,0.000092
setb_neu_007,neutral_control,B_neutral,0,0.0625,1e-6
setb_neu_007,neutral_control,B_neutral,1,0.125,0.000015
setb_neu_007,neutral_control,B_neutral,2,0.1875,2e-6
setb_neu_007,neutral_control,B_neutral,3,0.25,0.000054
setb_neu_007,neutral_control,B_neutral,4,0.3125,0.000024
setb_neu_007,neutral_control,B_neutral,5,0.375,0.000024
setb_neu_007,neutral_control,B_neutral,6,0.4375,9e-6
setb_neu_007,neutral_control,B_neutral,7,0.5,1e-6
setb_neu_007,neutral_control,B_neutral,8,0.5625,1e-6
setb_neu_007,neutral_control,B_neutral,9,0.625,5e-6
setb_neu_007,neutral_control,B_neutral,10,0.6875,0.000011
setb_neu_007,neutral_control,B_neutral,11,0.75,7e-6
setb_neu_007,neutral_control,B_neutral,12,0.8125,0.000011
setb_neu_007,neutral_control,B_neutral,13,0.875,4e-6
setb_neu_007,neutral_control,B_neutral,14,0.9375,6e-6
setb_neu_007,neutral_control,B_neutral,15,1.0,2e-6
setb_neu_008,neutral_control,B_neutral,0,0.0625,0.0
