layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
11,0.2857,gemma9b_inst,a,B_to_A,0.5635714285714285,0.1375,NaN
12,0.3095,gemma9b_inst,a,A_to_B,0.5750248015873016,0.1875,NaN
12,0.3095,gemma9b_inst,a,B_to_A,0.5542857142857143,0.1,NaN
13,0.3333,gemma9b_inst,a,A_to_B,0.6584821428571429,0.19791666666666666,NaN
13,0.3333,gemma9b_inst,a,B_to_A,0.5464285714285715,0.1,NaN
14,0.3571,gemma9b_inst,a,A_to_B,0.6722470238095238,0.14583333333333334,NaN
14,0.3571,gemma9b_inst,a,B_to_A,0.5566071428571429,0.1125,NaN
15,0.381,gemma9b_inst,a,A_to_B,0.6598462301587301,0.22916666666666666,NaN
15,0.381,gemma9b_inst,a,B_to_A,0.6580357142857143,0.15,NaN
16,0.4048,gemma9b_inst,a,A_to_B,0.7395833333333334,0.23958333333333334,NaN
16,0.4048,gemma9b_inst,a,B_to_A,0.7276785714285714,0.2375,NaN
17,0.4286,gemma9b_inst,a,A_to_B,0.8089037698412699,0.3958333333333333,NaN
17,0.4286,gemma9b_inst,a,B_to_A,0.8607142857142858,0.4875,NaN
18,0.4524,gemma9b_inst,a,A_to_B,0.8324652777777778,0.34375,NaN
18,0.4524,gemma9b_inst,a,B_to_A,0.8594642857142858,0.4125,NaN
19,0.4762,gemma9b_inst,a,A_to_B,0.785218253968254,0.25,NaN
19,0.4762,gemma9b_inst,a,B_to_A,0.7308928571428572,0.2625,NaN
20,0.5,gemma9b_inst,a,A_to_B,0.8338293650793651,0.3333333333333333,NaN
20,0.5,gemma9b_inst,a,B_to_A,0.8623214285714286,0.525,NaN
21,0.5238,gemma9b_inst,a,A_to_B,0.8929811507936508,0.5104166666666666,NaN
21,0.5238,gemma9b_inst,a,B_to_A,0.8841071428571429,0.5125,NaN
22,0.5476,gemma9b_inst,a,A_to_B,0.8857886904761905,0.3854166666666667,NaN
22,0.5476,gemma9b_inst,a,B_to_A,0.8596428571428572,0.4125,NaN
23,0.5714,gemma9b_inst,a,A_to_B,0.8843005952380953,0.5625,NaN
23,0.5714,gemma9b_inst,a,B_to_A,0.89875,0.4875,NaN
24,0.5952,gemma9b_inst,a,A_to_B,0.8635912698412699,0.3958333333333333,NaN
24,0.5952,gemma9b_inst,a,B_to_A,0.8612500000000001,0.4875,NaN
25,0.619,gemma9b_inst,a,A_to_B,0.8751240079365079,0.5208333333333334,NaN
25,0.619,gemma9b_inst,a,B_to_A,0.8821428571428571,0.525,NaN
26,0.6429,gemma9b_inst,a,A_to_B,0.8658234126984127,0.46875,NaN
26,0.6429,gemma9b_inst,a,B_to_A,0.8835714285714286,0.525,NaN
27,0.6667,gemma9b_inst,a,A_to_B,0.8737599206349206,0.4479166666666667,NaN
27,0.6667,gemma9b_inst,a,B_to_A,0.7964285714285714,0.375,NaN
28,0.6905,gemma9b_inst,a,A_to_B,0.7888144841269842,0.3854166666666667,NaN
28,0.6905,gemma9b_inst,a,B_to_A,0.8135714285714286,0.3625,NaN
29,0.7143,gemma9b_inst,a,A_to_B,0.904265873015873,0.5520833333333334,NaN
29,0.7143,gemma9b_inst,a,B_to_A,0.91625,0.5375,NaN
30,0.7381,gemma9b_inst,a,A_to_B,0.853670634920635,0.40625,NaN
30,0.7381,gemma9b_inst,a,B_to_A,0.8596428571428572,0.4625,NaN
31,0.7619,gemma9b_inst,a,A_to_B,0.9113343253968254,0.5520833333333334,NaN
31,0.7619,gemma9b_inst,a,B_to_A,0.925,0.625,NaN
32,0.7857,gemma9b_inst,a,A_to_B,0.8333333333333333,0.3229166666666667,NaN
32,0.7857,gemma9b_inst,a,B_to_A,0.8605357142857143,0.4875,NaN
33,0.8095,gemma9b_inst,a,A_to_B,0.886656746031746,0.5416666666666666,NaN
33,0.8095,gemma9b_inst,a,B_to_A,0.9010714285714285,0.5125,NaN
34,0.8333,gemma9b_inst,a,A_to_B,0.8962053571428571,0.4895833333333333,NaN
34,0.8333,gemma9b_inst,a,B_to_A,0.9533928571428572,0.6375,NaN
35,0.8571,gemma9b_inst,a,A_to_B,0.8516865079365079,0.3958333333333333,NaN
35,0.8571,gemma9b_inst,a,B_to_A,0.89,0.5375,NaN
36,0.881,gemma9b_inst,a,A_to_B,0.8524305555555556,0.5520833333333334,NaN
