layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
23,0.5714,gemma9b_inst,h,A_to_B,0.9206349206349206,0.4791666666666667,NaN
23,0.5714,gemma9b_inst,h,B_to_A,0.8698214285714286,0.45,NaN
24,0.5952,gemma9b_inst,h,A_to_B,0.9193948412698413,0.46875,NaN
24,0.5952,gemma9b_inst,h,B_to_A,0.8773214285714286,0.475,NaN
25,0.619,gemma9b_inst,h,A_to_B,0.9197668650793651,0.5,NaN
25,0.619,gemma9b_inst,h,B_to_A,0.8989285714285714,0.5625,NaN
26,0.6429,gemma9b_inst,h,A_to_B,0.9193948412698412,0.5833333333333334,NaN
26,0.6429,gemma9b_inst,h,B_to_A,0.9064285714285714,0.5625,NaN
27,0.6667,gemma9b_inst,h,A_to_B,0.9139384920634921,0.5833333333333334,NaN
27,0.6667,gemma9b_inst,h,B_to_A,0.9046428571428571,0.5625,NaN
28,0.6905,gemma9b_inst,h,A_to_B,0.9113343253968254,0.5833333333333334,NaN
28,0.6905,gemma9b_inst,h,B_to_A,0.9182142857142856,0.575,NaN
29,0.7143,gemma9b_inst,h,A_to_B,0.9006696428571428,0.4895833333333333,NaN
29,0.7143,gemma9b_inst,h,B_to_A,0.9153571428571429,0.6,NaN
30,0.7381,gemma9b_inst,h,A_to_B,0.8994295634920635,0.5,NaN
30,0.7381,gemma9b_inst,h,B_to_A,0.9196428571428572,0.6125,NaN
31,0.7619,gemma9b_inst,h,A_to_B,0.9022817460317459,0.5416666666666666,NaN
31,0.7619,gemma9b_inst,h,B_to_A,0.9364285714285714,0.575,NaN
32,0.7857,gemma9b_inst,h,A_to_B,0.9048859126984127,0.5416666666666666,NaN
32,0.7857,gemma9b_inst,h,B_to_A,0.9326785714285715,0.5875,NaN
33,0.8095,gemma9b_inst,h,A_to_B,0.9066220238095238,0.5104166666666666,NaN
33,0.8095,gemma9b_inst,h,B_to_A,0.9435714285714286,0.6,NaN
34,0.8333,gemma9b_inst,h,A_to_B,0.9069940476190477,0.5104166666666666,NaN
34,0.8333,gemma9b_inst,h,B_to_A,0.9448214285714285,0.6,NaN
35,0.8571,gemma9b_inst,h,A_to_B,0.9108382936507936,0.5104166666666666,NaN
35,0.8571,gemma9b_inst,h,B_to_A,0.9551785714285714,0.625,NaN
36,0.881,gemma9b_inst,h,A_to_B,0.9083581349206349,0.5520833333333334,NaN
36,0.881,gemma9b_inst,h,B_to_A,0.9542857142857144,0.625,NaN
37,0.9048,gemma9b_inst,h,A_to_B,0.9092261904761905,0.5520833333333334,NaN
37,0.9048,gemma9b_inst,h,B_to_A,0.9564285714285714,0.6375,NaN
38,0.9286,gemma9b_inst,h,A_to_B,0.9126984126984128,0.5416666666666666,NaN
38,0.9286,gemma9b_inst,h,B_to_A,0.9560714285714287,0.6375,NaN
39,0.9524,gemma9b_inst,h,A_to_B,0.9135664682539683,0.5625,NaN
39,0.9524,gemma9b_inst,h,B_to_A,0.9526785714285715,0.6375,NaN
40,0.9762,gemma9b_inst,h,A_to_B,0.9150545634920635,0.5416666666666666,NaN
40,0.9762,gemma9b_inst,h,B_to_A,0.9558928571428571,0.625,NaN
41,1.0,gemma9b_inst,h,A_to_B,0.9167906746031746,0.5520833333333334,NaN
41,1.0,gemma9b_inst,h,B_to_A,0.9526785714285715,0.625,NaN
