layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
16,0.4048,gemma9b_base,a,B_to_A,0.7076785714285714,0.25,NaN
17,0.4286,gemma9b_base,a,A_to_B,0.8056795634920635,0.3020833333333333,NaN
17,0.4286,gemma9b_base,a,B_to_A,0.83375,0.4125,NaN
18,0.4524,gemma9b_base,a,A_to_B,0.802951388888889,0.2604166666666667,NaN
18,0.4524,gemma9b_base,a,B_to_A,0.8383928571428572,0.3875,NaN
19,0.4762,gemma9b_base,a,A_to_B,0.8239087301587302,0.21875,NaN
19,0.4762,gemma9b_base,a,B_to_A,0.6923214285714285,0.15,NaN
20,0.5,gemma9b_base,a,A_to_B,0.8795882936507937,0.375,NaN
20,0.5,gemma9b_base,a,B_to_A,0.8394642857142858,0.425,NaN
21,0.5238,gemma9b_base,a,A_to_B,0.9124503968253967,0.5208333333333334,NaN
21,0.5238,gemma9b_base,a,B_to_A,0.9169642857142857,0.5125,NaN
22,0.5476,gemma9b_base,a,A_to_B,0.8757440476190477,0.4479166666666667,NaN
22,0.5476,gemma9b_base,a,B_to_A,0.86875,0.5,NaN
23,0.5714,gemma9b_base,a,A_to_B,0.894469246031746,0.46875,NaN
23,0.5714,gemma9b_base,a,B_to_A,0.9,0.525,NaN
24,0.5952,gemma9b_base,a,A_to_B,0.8737599206349207,0.4270833333333333,NaN
24,0.5952,gemma9b_base,a,B_to_A,0.8674999999999999,0.525,NaN
25,0.619,gemma9b_base,a,A_to_B,0.8639632936507937,0.53125,NaN
25,0.619,gemma9b_base,a,B_to_A,0.9019642857142858,0.5,NaN
26,0.6429,gemma9b_base,a,A_to_B,0.8852926587301588,0.53125,NaN
26,0.6429,gemma9b_base,a,B_to_A,0.9119642857142857,0.625,NaN
27,0.6667,gemma9b_base,a,A_to_B,0.8665674603174603,0.375,NaN
27,0.6667,gemma9b_base,a,B_to_A,0.7710714285714285,0.3125,NaN
28,0.6905,gemma9b_base,a,A_to_B,0.8017113095238095,0.3229166666666667,NaN
28,0.6905,gemma9b_base,a,B_to_A,0.8758928571428571,0.45,NaN
29,0.7143,gemma9b_base,a,A_to_B,0.8917410714285714,0.5208333333333334,NaN
29,0.7143,gemma9b_base,a,B_to_A,0.9042857142857144,0.5875,NaN
30,0.7381,gemma9b_base,a,A_to_B,0.8432539682539683,0.4375,NaN
30,0.7381,gemma9b_base,a,B_to_A,0.8598214285714285,0.5875,NaN
31,0.7619,gemma9b_base,a,A_to_B,0.9172867063492063,0.5208333333333334,NaN
31,0.7619,gemma9b_base,a,B_to_A,0.9475,0.725,NaN
32,0.7857,gemma9b_base,a,A_to_B,0.8586309523809523,0.2916666666666667,NaN
32,0.7857,gemma9b_base,a,B_to_A,0.8035714285714286,0.2875,NaN
33,0.8095,gemma9b_base,a,A_to_B,0.8596230158730158,0.4479166666666667,NaN
33,0.8095,gemma9b_base,a,B_to_A,0.9280357142857143,0.5875,NaN
34,0.8333,gemma9b_base,a,A_to_B,0.9358878968253967,0.5104166666666666,NaN
34,0.8333,gemma9b_base,a,B_to_A,0.9551785714285714,0.7125,NaN
35,0.8571,gemma9b_base,a,A_to_B,0.9321676587301587,0.4791666666666667,NaN
35,0.8571,gemma9b_base,a,B_to_A,0.9175,0.6375,NaN
36,0.881,gemma9b_base,a,A_to_B,0.9252232142857143,0.6041666666666666,NaN
36,0.881,gemma9b_base,a,B_to_A,0.9380357142857143,0.725,NaN
37,0.9048,gemma9b_base,a,A_to_B,0.9309275793650793,0.59375,NaN
37,0.9048,gemma9b_base,a,B_to_A,0.9333928571428571,0.6875,NaN
38,0.9286,gemma9b_base,a,A_to_B,0.9223710317460317,0.5625,NaN
38,0.9286,gemma9b_base,a,B_to_A,0.9623214285714285,0.7375,NaN
39,0.9524,gemma9b_base,a,A_to_B,0.9558531746031745,0.6979166666666666,NaN
39,0.9524,gemma9b_base,a,B_to_A,0.96625,0.75,NaN
40,0.9762,gemma9b_base,a,A_to_B,0.9286954365079365,0.5520833333333334,NaN
40,0.9762,gemma9b_base,a,B_to_A,0.9389285714285714,0.7125,NaN
41,1.0,gemma9b_base,a,A_to_B,0.9399801587301587,0.6041666666666666,NaN
41,1.0,gemma9b_base,a,B_to_A,0.9439285714285715,0.7,NaN
