layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
13,0.3333,gemma9b_inst,m,B_to_A,0.6089285714285715,0.15,NaN
14,0.3571,gemma9b_inst,m,A_to_B,0.6927083333333333,0.13541666666666666,NaN
14,0.3571,gemma9b_inst,m,B_to_A,0.5792857142857143,0.1125,NaN
15,0.381,gemma9b_inst,m,A_to_B,0.5926339285714286,0.16666666666666666,NaN
15,0.381,gemma9b_inst,m,B_to_A,0.5691071428571429,0.1375,NaN
16,0.4048,gemma9b_inst,m,A_to_B,0.6409970238095238,0.1875,NaN
16,0.4048,gemma9b_inst,m,B_to_A,0.60125,0.15,NaN
17,0.4286,gemma9b_inst,m,A_to_B,0.8120039682539684,0.40625,NaN
17,0.4286,gemma9b_inst,m,B_to_A,0.82,0.3875,NaN
18,0.4524,gemma9b_inst,m,A_to_B,0.8252728174603174,0.3645833333333333,NaN
18,0.4524,gemma9b_inst,m,B_to_A,0.8180357142857143,0.35,NaN
19,0.4762,gemma9b_inst,m,A_to_B,0.7977430555555556,0.28125,NaN
19,0.4762,gemma9b_inst,m,B_to_A,0.8255357142857143,0.3625,NaN
20,0.5,gemma9b_inst,m,A_to_B,0.8234126984126985,0.2916666666666667,NaN
20,0.5,gemma9b_inst,m,B_to_A,0.8075,0.275,NaN
21,0.5238,gemma9b_inst,m,A_to_B,0.8959573412698413,0.4375,NaN
21,0.5238,gemma9b_inst,m,B_to_A,0.85,0.3875,NaN
22,0.5476,gemma9b_inst,m,A_to_B,0.9017857142857143,0.4375,NaN
22,0.5476,gemma9b_inst,m,B_to_A,0.8460714285714286,0.35,NaN
23,0.5714,gemma9b_inst,m,A_to_B,0.9020337301587302,0.4791666666666667,NaN
23,0.5714,gemma9b_inst,m,B_to_A,0.8560714285714286,0.4125,NaN
24,0.5952,gemma9b_inst,m,A_to_B,0.9088541666666666,0.4583333333333333,NaN
24,0.5952,gemma9b_inst,m,B_to_A,0.8776785714285713,0.5125,NaN
25,0.619,gemma9b_inst,m,A_to_B,0.916046626984127,0.4791666666666667,NaN
25,0.619,gemma9b_inst,m,B_to_A,0.9044642857142857,0.5375,NaN
26,0.6429,gemma9b_inst,m,A_to_B,0.9181547619047619,0.59375,NaN
26,0.6429,gemma9b_inst,m,B_to_A,0.9,0.5625,NaN
27,0.6667,gemma9b_inst,m,A_to_B,0.9145585317460316,0.5625,NaN
27,0.6667,gemma9b_inst,m,B_to_A,0.9266071428571429,0.5875,NaN
28,0.6905,gemma9b_inst,m,A_to_B,0.923859126984127,0.59375,NaN
28,0.6905,gemma9b_inst,m,B_to_A,0.9285714285714286,0.525,NaN
29,0.7143,gemma9b_inst,m,A_to_B,0.9051339285714286,0.6041666666666666,NaN
29,0.7143,gemma9b_inst,m,B_to_A,0.9223214285714285,0.6375,NaN
30,0.7381,gemma9b_inst,m,A_to_B,0.894593253968254,0.5416666666666666,NaN
30,0.7381,gemma9b_inst,m,B_to_A,0.9096428571428571,0.6,NaN
31,0.7619,gemma9b_inst,m,A_to_B,0.9149305555555556,0.5729166666666666,NaN
31,0.7619,gemma9b_inst,m,B_to_A,0.9521428571428572,0.7125,NaN
32,0.7857,gemma9b_inst,m,A_to_B,0.8990575396825398,0.5833333333333334,NaN
32,0.7857,gemma9b_inst,m,B_to_A,0.9255357142857144,0.6,NaN
33,0.8095,gemma9b_inst,m,A_to_B,0.9197668650793651,0.53125,NaN
33,0.8095,gemma9b_inst,m,B_to_A,0.9380357142857143,0.675,NaN
34,0.8333,gemma9b_inst,m,A_to_B,0.9035218253968254,0.5416666666666666,NaN
34,0.8333,gemma9b_inst,m,B_to_A,0.9492857142857143,0.6375,NaN
35,0.8571,gemma9b_inst,m,A_to_B,0.9086061507936508,0.5416666666666666,NaN
35,0.8571,gemma9b_inst,m,B_to_A,0.9701785714285713,0.7,NaN
36,0.881,gemma9b_inst,m,A_to_B,0.9002976190476191,0.5104166666666666,NaN
36,0.881,gemma9b_inst,m,B_to_A,0.9464285714285714,0.65,NaN
37,0.9048,gemma9b_inst,m,A_to_B,0.9138144841269842,0.5625,NaN
37,0.9048,gemma9b_inst,m,B_to_A,0.9594642857142857,0.6125,NaN
38,0.9286,gemma9b_inst,m,A_to_B,0.9119543650793651,0.5729166666666666,NaN
38,0.9286,gemma9b_inst,m,B_to_A,0.9642857142857143,0.675,NaN
39,0.9524,gemma9b_inst,m,A_to_B,0.9176587301587302,0.59375,NaN
39,0.9524,gemma9b_inst,m,B_to_A,0.9726785714285715,0.7,NaN
40,0.9762,gemma9b_inst,m,A_to_B,0.9139384920634921,0.5625,NaN
40,0.9762,gemma9b_inst,m,B_to_A,0.9555357142857144,0.6875,NaN
41,1.0,gemma9b_inst,m,A_to_B,0.9237351190476191,0.5833333333333334,NaN
41,1.0,gemma9b_inst,m,B_to_A,0.9521428571428572,0.65,NaN
